TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
AF041922A01,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
